,length,diameter,mass,motor_thrust,burn_time,cg,cp,material,stable
3417,58.5864801448938,3.6302775933497657,1356.7670384527466,130.72158524852478,0.9170369191305496,28.340611900224907,37.357603264313106,0.5474579325388437,1
3418,113.31347390667563,7.609593234506918,243.5046907166598,75.85837371779722,2.0057370416473357,48.155148012042304,71.8098465987692,1.1942835718097689,1
3419,62.89627807978764,8.207319736042148,1163.7632057707863,148.5057900287659,0.5339323725929891,37.63421517821569,43.100643539392486,-0.37262403344575357,0
3420,32.064621888193415,6.794701213431214,578.7914056021361,127.63035660779636,0.7215929829336641,17.275399261673783,23.35996480554045,0.5880159583577043,0
3421,33.3082644600003,8.942949238156089,292.44834980222976,80.58118427891621,2.1852637769349776,17.60462044317953,25.075603529243505,-0.323185704327145,0
3422,55.077722657498974,4.993156763014287,270.5320682226518,122.92833860102446,2.4291258719221407,26.182464670690283,42.746509062070665,2.336981374992719,1
3423,40.238771962082104,7.9582061364469965,889.0586021452751,117.30271197622373,1.9019845465681893,22.16416454577225,28.091068717261393,0.8825825548167037,0
3424,64.01503087191648,8.250674814941224,669.2687930244426,168.92057554587527,2.7547641968529533,37.53831813501851,43.8533082895885,1.7741239871278105,0
3425,97.32471811824978,5.926838629610635,267.9590241417,50.49685273647879,2.5381790605607915,45.27808235013781,63.491754763066766,0.6000200171837131,1
3426,115.26189546974882,3.4845878263766537,1284.838247505693,42.653254533698124,2.256416708649442,48.603378269141416,77.91953975211473,-0.21217348767260868,1
3427,64.71755149752043,8.634854266522227,280.25903894083814,74.02300267648104,0.8932361628927181,37.832640190053866,47.043052007849674,0.0192255294521002,0
3428,83.68831511975222,3.291032970973636,1099.8603350239857,61.504027047447074,2.6291036671773784,47.48485659472072,55.47907752217136,0.9647338425053729,1
3429,101.11876460343598,6.323003483840108,291.6998407553147,162.32140809041937,1.565088494229606,47.87177394712873,66.43801532421995,1.915632144615877,1
3430,62.732552154509165,8.701824693372979,282.7699434498189,77.09146411263252,1.1972045161118288,36.67700304627408,45.01222693029636,0.0801052938715231,0
3431,39.227886508615605,4.626390042593349,1181.6113972166322,156.9449627890931,1.6234342505655013,23.147166968669833,24.317638992362635,0.6462961009327723,0
3432,56.15953844330912,7.524192865426017,1313.2368350919887,21.868131611455578,1.4615227881549304,28.109770730094926,38.63762479778722,1.6082265624253342,1
3433,41.465443417276546,5.74016948743858,450.0233807084043,62.49870160077661,2.0039534012158744,23.28865007968475,27.24917752257462,0.05735165393841184,0
3434,100.18084306421311,6.886626242179906,829.9454238670696,107.30451996695382,2.121138875504925,56.09413095457469,88.25652151640713,-0.30824587901860623,1
3435,60.282063133497196,4.208783399986192,768.9444009374623,169.50134726618427,3.1154424456023646,32.09418997197121,39.83055708056247,0.14557539045270151,1
3436,31.048149688711657,7.819398289810104,477.6938731151124,196.63429043618572,1.5178690434689202,15.054614188069849,21.72093644285589,-0.28412218161647274,0
3437,89.72238223178425,6.298811284312939,1180.7736913816013,26.557583979634813,3.0604199427962353,38.533486053478065,58.046640377742335,1.8775494997984492,1
3438,37.18046226474758,4.730191489079457,1192.297839090318,173.8687182284364,1.8083856966061516,21.635622005830772,24.89720768642641,0.006103010994398587,0
3439,53.41720815812747,7.197635688080173,778.3128922783576,176.7423792395204,2.022153477849679,29.05651527797356,34.212786726576645,0.9369626434786864,0
3440,50.21610026826654,8.630208946731157,738.7440374941458,43.30919521997037,2.7924836922283625,26.912337312368795,31.875928467197898,-0.767289264836299,0
3441,61.46463896053943,8.772642079466111,723.883030033356,102.34928782271979,0.8758613270079191,36.176623474473395,39.69390558176324,0.8470493566879611,0
3442,117.25353208319123,7.916515280049463,1466.5906888437723,34.49200974930727,2.6202198263832623,53.23584211364664,85.43997439730012,1.973144265161677,1
3443,53.5778074165773,9.57208773425336,1285.9775191189256,42.24879565477304,1.1455664015431613,25.987895609193995,35.7007084031051,1.7751581522906625,0
3444,34.40116736898074,7.605976014157359,699.1539696489475,155.0169426553682,0.9573295825781158,19.665527718548823,27.91318712768091,1.6824405257871977,1
3445,63.48542559422462,7.1349673182323645,663.3714567151874,161.58161742878306,2.6118005759083607,36.58777964571933,42.223001870720125,1.767979124025386,0
3446,65.8319268289867,6.590398645957577,1121.0779312291836,157.8802541822895,1.2524961063216598,38.630674536729735,41.59717972086897,2.210224350511154,0
3447,33.19447151346771,8.896460514686325,293.0870500130817,80.82686736469964,2.5437339887995423,17.87943372792456,24.684840393350562,0.5907135871179502,0
3448,58.89007527138892,9.525104779675654,557.7571153877647,160.23069093999686,2.222286180213247,32.487156865726014,36.04615397028252,2.029197401948943,0
3449,70.62842012426971,4.648271197099498,571.3147026933195,34.73005422583835,1.3330472696529685,30.550164881569607,55.700413229441544,0.12301554808783638,1
3450,50.609968672489266,7.506505901966282,256.66031251914467,167.75748810968187,0.23946161379959519,27.03508503649026,41.482076364287025,-0.06595925950287437,1
3451,98.19234582266824,10.165230662735347,704.0883550850809,22.36617382954525,1.083723572390903,45.82770902595733,73.28428666526825,1.0726196252367668,1
3452,101.53186303459375,7.259532532375035,280.67040777684485,169.96521734861756,2.586681764439144,46.97347716080649,68.92730630617551,0.8486070538904442,1
3453,92.38438025789277,5.828025056384838,1314.5348985854996,97.85566174360524,1.0338132519694307,46.418633558778915,70.35711903028633,0.14156447075299886,1
3454,118.80338756758667,6.529896172977076,1344.10876018033,110.10728068385659,1.3916323022978414,50.015606580089276,86.48440486278479,1.5350789140014023,1
3455,41.69798374936854,7.950215157649899,1125.576065877735,147.57112289500455,1.928620007549874,24.2165299559267,26.32131317506509,1.0351686750145856,0
3456,44.49154668114554,7.336348973817993,597.1804185168911,100.41856309819742,1.9672695079689713,24.556297839011474,29.84052579641084,0.23567610076929668,0
3457,60.989347338211104,5.557798021159337,652.0839147808921,148.7925755058423,1.6254723794446506,33.863556911571074,38.28551543745973,2.317437623563073,0
3458,48.491162146356594,8.238365519009536,1337.9148536791106,169.26050158647325,0.3019251329225994,22.04843036730277,41.80002447638027,1.5893997678199159,1
3459,59.439221038593274,3.4627358977409894,1357.170256126028,131.11471883026843,0.8157771854772864,28.188917355342127,37.18512829296047,0.4811939913705948,1
3460,39.60479775526347,4.154912762046561,1181.7303497721916,156.72631604360583,1.5214827227056087,22.799180117510566,24.322776213307684,-0.1285810416981063,0
3461,52.167999844226294,4.726934391975503,377.2333606731688,170.48617863942383,0.9855590115741781,28.694875116277053,36.90971307832059,2.134894734416731,1
3462,56.529542022080506,3.0235086958308863,699.5948941274668,76.47015400596369,1.2618557725204265,26.560290486582883,40.61422246784867,0.42120590460604956,1
3463,36.549328614799855,6.253811510794584,1141.1401201117064,53.52565981352124,1.77196577973886,18.026129027371717,31.76228516022416,1.9781962905740347,1
3464,66.17851016172717,9.68106647322273,740.3893368887755,28.65674975279384,2.6437801505510174,37.591583236766375,41.31354879618093,0.7300816234906311,0
3465,64.7482681901596,8.915531723368193,374.8045908503368,104.83630717147814,1.0160141366373243,33.24058303980977,43.03715309952063,1.9436880271393053,0
3466,99.6435586689388,4.4648703125932405,572.9005020077901,53.761203760306394,1.6550815705213486,40.80651358542212,65.39958399757766,0.8417488965561938,1
3467,59.96932964851803,9.168056911858907,211.76227565438805,155.79275424964368,2.3038578635704132,33.827957733062654,38.54914257845109,1.978304746600355,0
3468,71.46699915620518,7.029952356491371,382.21836456281414,99.55234262761111,1.1885234265614515,39.59305099422036,45.34301052669838,1.0708496166680848,0
3469,31.29755326275339,6.6138805073906575,496.2210860128855,23.99302300238764,2.511727569242314,16.59815953647876,24.751694226179133,0.9246334758252649,1
3470,40.6855556106432,9.097299780834232,1203.3463525062018,190.39840373247003,0.7805710001672694,19.595719056814698,28.704886675961305,1.5725560284060953,0
3471,37.00511473388583,10.305981970734564,664.8199786643906,119.18442505647606,2.270084573949067,20.93626151458392,24.12675214806982,1.223567885751805,0
3472,36.354029696225915,8.049579182895675,414.76273635316494,189.24627260029928,1.2845719067427632,20.354227245042928,27.197500693383923,0.7031856131810947,0
3473,43.1344553746887,9.625858422384876,1139.3186153146453,58.37031155765457,0.09755446874549745,23.32420610852526,28.19124343708393,1.459902250017338,0
3474,31.519412135773997,7.1712974471644175,469.96086729648044,192.48027506993645,2.3930561480802828,14.955120634692186,21.97731450328264,-0.3817256984419833,0
3475,110.92345141587936,4.06663898243358,1120.2773189563022,97.77329821699436,1.5529304255559688,53.67106615527234,99.20039106398542,1.0201418078429312,1
3476,41.27664408367432,8.257497050288382,561.4011803975018,118.95479725033286,0.7354771529400402,23.585205556888933,26.211967872681615,0.46877100315416753,0
3477,101.88232498372021,8.589029213015486,432.65100785293663,35.110540327294395,3.2821653623202605,41.247042326539855,90.50202146139037,1.6938702235378176,1
3478,45.6551914094488,7.230899297938849,565.1135045589019,118.68512349551939,1.719556430296064,25.606957244206242,30.458990880352978,0.2720117320382204,0
3479,72.5548950095011,4.352030134912879,1481.5586287481142,57.78651127824212,1.1700403959591938,43.10983026204732,46.72383238594494,-0.7302406669412645,0
3480,111.89391135520268,9.437592135256146,514.8216587531253,39.176790274870605,1.6913984082022326,65.21053935989679,95.84082456657013,1.8341024421268648,1
3481,49.27374384268202,5.806960691219313,1305.4748828572265,189.2801516709344,0.9243101418880137,28.884786352076024,30.430558677485656,0.9367694420551373,0
3482,80.2813356963081,8.19183033860289,223.0473855933492,107.70210890928546,1.793623606617919,44.25765407558302,48.394121397402294,-0.06137484348563695,0
3483,38.0747749546361,3.398820470957068,1180.7040232361833,157.028542481018,2.351633006713929,22.633160969747934,23.212617686966023,-0.06183331253887039,0
3484,110.66479810247108,8.350508375117201,385.9258843631261,108.00165270579082,1.2552528842679236,51.73417466676895,91.27294212555914,-0.5009539042243175,1
3485,53.371032143297846,8.035162985774736,289.15710537649244,94.14945051010227,1.4457293954877768,30.340167699018014,37.02396809937982,0.2619369034810676,0
3486,59.35644593357392,8.812314016119508,284.4580955460904,82.82406733321113,1.5123151541805628,34.28860144777242,42.34249475668691,-0.4498878392082713,0
3487,65.80618464934078,10.054289075426121,797.5178459856929,152.17421624839605,2.540751917736179,36.01459715111683,42.10726143546121,1.4070990357799211,0
3488,51.00930745299524,7.945775422411091,554.8142247061824,127.5769800747331,2.6803388112539186,27.77614473978289,33.22782196915817,0.13860593725527254,0
3489,105.66909032940055,5.969297204408837,598.4558686780831,156.6723088450816,1.575558772953803,54.4005345791132,86.98170459408357,1.6046991379756568,1
3490,99.37942675615288,6.21483779188509,830.1701395905274,107.20919700799475,2.1205847756624134,56.10922371294761,88.34268286411631,-0.050138761397690565,1
3491,116.00530461199067,8.161989281760961,1055.8378773258455,58.03994869472939,0.307399562520001,48.83901138732605,76.70751650565933,0.6511731751066621,1
3492,76.99927944111333,6.165948902639056,776.645922330677,23.344230342881,1.3889708701491907,31.60709171876471,68.37433681620251,0.9436071825960223,1
3493,81.80988600907604,5.838451413279489,1411.8332999051245,62.516318072255366,2.7780500493871925,46.14370519979107,49.79995913614623,-0.3696859406469266,0
3494,43.7524953485838,8.467471527147412,553.7988973938996,122.4066308662027,0.29632002848991124,25.061083838722233,28.54730472517891,-0.9923355048042575,0
3495,56.579524222933685,9.50064146550561,218.02782299790982,163.51646455759195,1.9391323878336573,33.090180978894836,38.374758929914556,1.454677507734254,0
3496,108.29804372932517,7.136568551705336,397.41382667992576,177.95941956897883,1.2641747835108768,57.41675497814382,87.68048131332971,-0.31393952961592525,1
3497,52.18356970471449,6.707333677525687,1099.6830086935295,159.75226794756264,1.4488785988815067,28.40029366145383,32.89413979351838,0.45263124620734096,0
3498,72.74458247833275,9.069425100166155,1343.4194600851824,107.16779874296356,2.254767717993455,43.059448915095736,51.174112301732656,0.7034016337280156,0
3499,75.27061770120555,6.916406846383868,1134.459691370991,71.31500767813947,2.0914065178623105,42.794077516679295,46.63381945043365,0.7012032024586429,0
3500,34.225301851642236,8.189091577662046,435.71379860198016,192.2211157843933,1.3752750736437913,18.52081966989726,25.73848944133738,1.2059808800974017,0
3501,39.833110612715195,7.815743352310912,786.6852148775433,178.28963613809393,1.0911550996246304,22.272511192477545,28.962971302329223,1.6461573617472283,0
3502,89.97732573461131,9.633916298842566,1345.4052378367626,127.46259919215171,2.448392320309586,53.68190933979788,61.81782735527428,1.1887965297443728,0
3503,44.94559027503375,9.29578684706973,1138.6312147300582,62.48597632150193,-0.08881570245611115,23.82758559733489,29.269992163241316,0.6406233744331197,0
3504,74.28090722433812,3.863155958347856,1308.2244440969516,30.944328221847915,2.8023892669922073,36.27901470195684,47.98889652895517,2.1745596012523047,1
3505,50.83742128548391,7.775001723593939,554.593212345376,126.95111173951935,3.2094369132785205,27.542529186832766,33.44767246176833,0.3201044332222897,0
3506,50.306872618059955,5.51176820272102,1312.7564738542403,48.37731083543467,1.892209490924052,20.34627259473175,42.89919205182162,2.3771523170417477,1
3507,82.59486488374353,6.253904089686099,286.0339604599633,88.73706409617088,2.1311873830322807,48.96017624174967,61.24549170445307,1.727981670459452,1
3508,46.9697772501561,3.2970522899109675,305.80819488529073,67.70193419950049,1.1113969820972445,23.52674409330394,41.21194297437292,1.3201136621788767,1
3509,35.45093882454794,10.278438062980339,289.4220970085282,67.21454828470785,3.4811587387613474,19.176263529874483,27.94148302269349,0.247759661056849,0
3510,56.97763755781041,8.348256135265723,281.0758469012477,125.30169402685613,1.1912599657435639,28.768755033353283,35.40743102131854,0.6527564542426001,0
3511,82.3550308635604,6.056823166162212,286.62784029500506,88.9479531812164,1.9597149640737326,49.11403838858666,60.90756800838274,2.126295661068027,1
3512,88.19557730695557,6.555674239671342,1360.701450214427,48.18405275931521,0.9509560103061727,46.33009776807436,68.89253663816484,1.314328473027403,1
3513,59.58783045093383,6.097891053305803,784.233811728454,174.72203606795944,2.340361274521675,32.00139873230177,36.773507506366805,1.0729370412669856,0
3514,106.04463876693058,5.189309129167878,346.4132466108484,152.22044003994023,1.4624143627191433,43.76134441790315,68.90564077617266,0.22949584506867926,1
3515,53.949047256659256,9.689785906342594,1318.4314883592872,152.65127886414206,1.7227863495607807,28.313529975456383,42.77903355491885,0.844498304392629,1
3516,65.37625179839546,6.387276782864361,385.66582205071387,107.4990377739725,0.7379264084598279,38.33785781427165,42.53340891015745,1.0556470942722107,0
3517,47.83620821471693,9.565401959960607,332.8780987857851,139.01824000190564,2.223761604904942,23.50176124166509,29.504531317776006,0.9738886870827623,0
3518,81.21066578149834,3.646285421927475,254.9505047682417,95.58493608871709,2.2108078389330577,37.59906497749643,57.006057211674275,-0.16838393115826714,1
3519,52.28054914655463,6.524466164983179,266.2834566549219,141.7119078773705,2.688171513581002,26.70329996791693,31.652429173316293,1.0359101766473113,0
3520,36.59953418883098,5.825968068188813,1262.4051496970326,60.758728166007984,2.2909083463242688,14.803101473635666,31.12474357148022,1.4966503210543753,1
3521,39.369369718228974,8.180698924955534,1243.635393114535,35.33299790046432,1.0962987691567878,20.019237893260197,26.26669063206762,0.6662949137572041,0
3522,36.12407637185328,6.022498617124821,1201.209220065457,190.8008887219243,1.2679486636899107,21.317667747683448,26.22562211222531,2.2647355562795757,0
3523,41.61176000636115,9.591254620424055,741.2025348737953,56.397775848323654,1.356166055835992,17.574318851359656,30.374814445235035,0.7714300113369529,1
3524,46.31370027638885,9.82614112003407,592.051940004507,170.93476359468062,1.1046036735949978,24.62000635151503,32.311852854392704,-0.31581592705411515,0
3525,40.52296388347854,9.252241435236176,1203.1672210499353,190.48380270447655,0.845978188681991,19.763034357389497,27.914183503761226,1.8387605188973528,0
3526,109.70908235201422,10.083445856991315,1442.6763867190073,132.47020097910644,0.6763716354028164,49.35500384635039,91.07657246578351,0.19551870065594326,1
3527,69.26029029589166,7.566131876123293,669.0554078802874,173.7937416955991,2.009970488709658,39.30892247028143,44.19963053234618,0.6573092513693548,0
3528,64.65480339182841,6.463952146839717,385.7671182710279,107.7319352439678,0.6434122317515378,38.24041880151366,42.624113428348984,0.7214892143734227,0
3529,102.91154000039654,7.543832134557235,336.4993790422359,65.56380243294844,2.0023157905638937,44.803631209341134,72.31340254549889,0.25745796196182225,1
3530,57.99407823093689,7.164858135088532,1385.6857170333283,49.135286837030044,0.8089698427546477,34.69816762242199,37.88171087722589,0.21824164349564867,0
3531,92.78551517640778,3.421721998692109,706.3474971914056,90.15857672668989,0.9880859722065335,51.27195198517251,70.9238729574973,-0.42329799580381294,1
3532,41.522504899230746,9.533520739129946,283.5363063369336,70.77048276824708,3.0460724242195343,21.924769824177147,29.669994145792753,0.014346686345200508,0
3533,116.10216454996235,7.63217110928359,1435.8999116451873,93.76137111741527,0.5040923353572733,46.42345111368671,72.8593645127314,0.473942996978016,1
3534,113.9459640138125,8.471481391906362,411.81343182959273,118.22568115932282,2.95358318555171,49.968809582993366,89.24993262066033,1.9376240603664934,1
3535,43.7835711399957,9.779290282274406,1383.8076563145457,130.04832888039942,0.06998171271846332,19.433452204352793,27.253558536082586,0.7728565373493966,0
3536,110.34499296600568,9.802471498708513,1324.2267969839236,177.8949496695045,0.9422299235684306,45.664390137800666,94.03687091507254,0.8666028089966555,1
3537,117.7057534692754,5.402941263228886,591.1831011661304,63.25493063370033,1.5684280127023265,60.75204904698898,74.99673486153556,0.11829048576907704,1
3538,55.5216232238781,7.9256297580936375,558.8677979022807,145.6991967718174,2.0597234326451286,30.85337366583539,34.83120942781372,1.06568820104101,0
3539,55.02096224519141,4.786944463102436,1190.478729455778,178.3267102856173,2.339263740554693,27.975566542616974,39.92143945204822,1.828755279496603,1
3540,107.75728489903429,8.93272352449061,1209.8889566773257,22.221757770050534,2.143620170552816,62.11156767834967,67.08403338464228,2.356561996923195,0
3541,71.68610332537169,7.119643302656047,864.2664341230834,53.04729246284672,2.9010367113348776,37.280766474447674,45.04595909403316,1.4614774695249495,1
3542,118.46193455144696,7.151237494648779,330.6235846415783,99.43335625791582,1.0610367348347194,63.07720332558065,78.03573266445245,1.2625418074031016,1
3543,51.49745053376937,8.779665050239814,425.512102042614,65.04647153369555,0.8865680969898142,22.713962407611298,39.36458883982265,1.425612440645594,1
3544,36.48159701089442,6.773520948036187,1381.153729203633,44.65602328905775,2.3438475822592473,21.221642113961863,21.66598668022547,-0.30179307414915707,0
3545,58.82890439775929,9.675099576202248,272.48689544069754,76.27848329882855,1.552309765797238,32.14413074565955,37.38704047200849,0.2122843721601461,0
3546,36.59620383726319,9.135080756419551,1381.9335585490242,126.18249010478198,2.7558358112253485,15.938774443818886,24.69078462880685,1.2813955275146962,0
3547,44.972196482900706,7.097168018224633,257.48242942892375,157.08071878431116,2.8297685651079822,22.73428749187204,29.820033503616603,-0.22587930318789134,0
3548,54.053944964286494,8.214899000630973,503.5868471109316,150.5535298596322,1.0227510968474842,26.600652053839855,33.915403222786615,0.7016054404738548,0
3549,118.80853542913816,8.66552971551462,729.9981731515783,153.0955338574276,1.5811266556542751,62.10581753806946,99.30574686273717,1.2872187694106798,1
3550,41.92241885371981,9.65573165731173,1391.4581552598086,75.09371803516572,2.8244718179398514,23.518819669492498,25.261822771571296,1.2792965164862409,0
3551,47.66638168601048,8.055214089170189,1259.109725363255,124.81372474067052,1.082414751634014,26.58447414131672,30.015988377405854,0.7113818451410153,0
3552,50.409497556786455,8.740043273861863,1388.4474220828388,59.02683224265071,2.1069603860582293,29.925297292424048,32.204422213790565,0.013484773594895872,0
3553,41.565874013624835,9.810328341906944,1391.2979078045769,79.11315792855356,2.721804360270797,23.022568854085733,25.595454028440045,1.1499731431105569,0
3554,59.062190941583964,8.968799340779638,558.1520496868596,159.6742372553206,1.5685488366483322,33.20680242383978,36.19787599737286,1.9894001500760554,0
3555,99.54908693586586,4.001374569275091,484.150413848092,135.90864398215678,0.7706180409906348,49.310686510199844,70.24308018360779,1.8698801126095594,1
3556,104.73400219872717,9.81861903126736,1378.4659975220043,75.19251823275995,2.526396130489167,53.508738902743886,93.82940428157754,2.044585966045118,1
3557,40.2882462345704,7.287574616303969,727.3095952560093,142.080106066057,1.7857437135708705,23.761410337109986,27.949811360672022,1.0113337952180617,0
3558,34.25704878643756,9.109294573545304,380.19053296783335,150.79158854441297,0.7561375502231409,18.495021963228236,26.533847520799238,0.7274173459329651,0
3559,33.16597813950038,7.607638780222528,452.449536912476,191.29086338941715,1.7502450732848547,16.68593969910333,24.080233553385174,0.1289923003727662,0
3560,103.0457426324657,4.327974147622639,907.9175246590319,154.8364529924347,1.039101390358102,46.466593226725,62.63457795906027,1.8087268211666903,1
3561,41.5018431600918,9.825999937458741,283.5399749417897,71.113270341214,2.8306251286076893,22.271274856296603,29.423062722948302,0.002421279130901456,0
3562,34.99893362244094,8.689255261312125,842.4638490928593,161.85814475414608,2.0113824940976013,18.004560446289894,27.374692314376034,-0.2549506455861784,1
3563,84.0354846984387,4.4310603592317825,284.3184476225538,141.48029954636817,2.039711293036575,36.91811260693725,66.00289877281715,-0.08739337995068518,1
3564,43.80820784952128,9.083849092297529,710.4632051145288,48.189753956403564,2.8839827368289273,23.694239123078876,27.944866498365137,0.07796823732612343,0
3565,56.15067614180855,4.935060289467099,866.4642101874539,143.34346065110697,3.004274166090201,26.436327369696016,44.55289412401383,1.5949855370300479,1
3566,37.27636542710399,7.851620877358589,247.16614842985712,172.59292176289543,3.1457116929542748,19.10874025234471,26.923299412370806,0.6107414570046968,0
3567,86.59227273507058,9.813587432038522,1391.4354338365258,25.618324263452866,2.434181394845208,38.792683731707896,52.75435691138605,-0.03068790958006548,1
3568,97.53484462167232,8.471918105598238,453.34658192126005,148.99036906391498,3.1295185799293668,51.136224540990774,71.89227616094131,-0.32583445071308453,1
3569,82.10290068421925,9.438663232493854,1446.4115750578962,103.61744200292608,1.635032911495625,42.914452256355126,49.829618496511564,-0.1570580631426305,0
3570,79.93975725945684,3.9841640140483365,1268.050835535672,164.46566040550124,0.14375783246175267,33.00111414917882,70.55698901522763,1.1809973032805328,1
3571,101.97056987917843,7.975260174753428,910.670330425829,137.95040246932723,0.7898182081628762,41.75244975619188,74.33647918782977,1.0002530080779055,1
3572,32.21589816500859,7.069824593134499,1225.7649567370304,54.18936040091768,2.429725800134494,14.56557484414719,27.404599817342167,2.1385883729951045,1
3573,46.335997131489556,7.865778161080547,1310.0543686244355,163.8536723384038,1.9243363868063466,18.268565166221943,37.81881943937547,2.2539442139265855,1
3574,83.03409682264773,9.306099638238262,1453.5380066783753,100.06074815164877,1.5317939912399554,43.05271788024047,50.69597188577892,0.5683553468162662,0
3575,56.547567950151446,8.599703783681196,383.17524487299914,134.77183229368168,1.8149754371055542,33.31334661252363,50.117718680031615,0.8332308154051913,1
3576,110.69831315352307,6.988804080277194,651.3529729350657,87.20547719898548,2.6914627498646335,53.45856586116751,77.95644991296024,1.7148032404694673,1
3577,31.221558852397635,5.249942317291127,578.3889704622864,100.1604094286514,0.37370411131585557,17.99955412093568,22.05267781126154,0.9974432610415563,0
3578,46.673354614593386,4.202733394033496,918.707933093504,122.50454723480222,1.933880338352105,19.45747050323615,33.37841593776748,1.0248533006494032,1
3579,65.79390198793962,4.472157727064724,978.0457716262855,83.11496032858152,2.020900035116816,37.34385307484421,58.612101973698685,1.857690857025618,1
3580,101.50822542252274,5.467295586104496,436.0492833170832,68.04050026995287,2.857753364529334,53.83867031872131,78.09774560202915,2.0683786000675193,1
3581,51.63944781671983,4.364984606654122,251.06717208987158,167.8491650403774,2.249666602699161,28.87063072704509,33.30708420167005,-0.16362240503380587,0
3582,53.76000210936574,8.264921769547591,759.0843443619825,120.6637732900443,1.2539498430251292,30.216737278124544,35.73256994710132,1.2043334905465286,0
3583,55.7776583909712,9.393993261345218,350.7790838723845,123.4593632131707,2.0857770120979593,27.341792167411946,34.8349090433105,0.8325874294397114,0
3584,60.63119553240113,5.3631242306693,1357.132902299315,182.41407874544643,2.9275903859931125,32.820840272666615,54.551891391368045,0.7921819642394752,1
3585,110.74358221629514,5.994226717556552,1475.4431420247397,126.94168395399335,2.479132035167583,66.3205780985403,83.28640452196935,-0.35591460115011053,1
3586,75.97160931591456,4.709974754368848,1480.5365945447863,57.24595321994818,0.7707549287591764,43.943109493057825,48.239853015578724,-0.5619054889832755,0
3587,59.786252793018726,4.569288351567441,885.1153895321065,117.7289738345153,2.1934883106079295,24.42014090941851,37.11753886127121,-0.03173121513671768,1
3588,63.04050681757773,9.724124721467858,787.5422424856729,127.42743860638902,2.15874575981792,34.94259979472804,40.92424228241341,1.024694540008272,0
3589,56.86381430693882,5.130167499705324,403.50440581683057,78.76382457329794,1.2858005082020618,33.753088123317276,35.51836695045193,1.2697411756947876,0
3590,59.71744362358436,6.154554329173061,1291.1214693419042,198.1360101521573,1.0037655522141862,34.97728068756707,36.224922578815814,1.7580717840996163,0
3591,36.96561066941104,5.949769853216327,1325.6233250576395,179.2678866252139,0.8797619288259333,21.670436853169825,22.141476620049183,0.6638948285615143,0
3592,37.10056140511892,8.523922532524027,369.7887134068752,193.38796674584884,0.9996585753636968,17.112273490125652,27.865318726726887,2.341718759715119,1
3593,39.640345504916866,6.7006613485678965,744.4877360360455,113.80192573908174,1.0218325026476756,23.406382239406387,26.034953813019115,0.7962513808171949,0
3594,65.45524044026726,8.372864477109896,617.6550873088069,171.1949530056414,0.5139553095159889,36.86580229895981,41.26928703574246,1.8722666715171048,0
3595,117.25148566999358,8.771722582056027,795.7061085989506,56.68740245483673,3.202109329105218,51.40526071943984,88.98634745131109,0.07345585630632157,1
3596,38.834930856069,3.1916169695551924,744.7208165763761,138.0497858518863,0.8689690218352573,15.764063239213169,27.284808083285895,1.3093914853143973,1
3597,61.687274889357184,3.2488123083867264,1147.0446755643056,104.59297757968686,2.0037366913609103,32.354466538746976,40.218998434321584,-0.7570481093667871,1
3598,51.62287663632432,9.203934041361627,1137.9173140181504,62.09896615754509,0.3529847852194728,27.78407787682039,32.61926551801975,0.7970231741019449,0
3599,111.662803491424,7.430217897369382,1244.3692272047483,160.05354678508448,0.6043414099763269,62.806329463057445,80.01404527961739,1.4238358727757392,1
3600,85.43977775227552,7.603409897250769,537.55733085505,153.1740030376712,0.8498966411583195,49.71924877633373,59.13298824383789,0.46314238759230497,1
3601,30.288071777304566,4.960894730082416,1346.5946804361668,191.33865543004958,0.9503599410484953,14.370815843305285,19.7758626485482,2.1494075392470213,0
3602,103.78090164132652,5.7209849809076525,780.5503727321014,35.517710100378046,0.7589509543427493,57.83321551367126,91.84305214540555,2.06234616196022,1
3603,33.88607926533011,5.558785839972597,1337.0297671097346,185.3652133738268,0.6779516812848854,17.72472080442878,20.822944032588072,1.1575210703940737,0
3604,44.08807974856854,9.347526945819554,1139.0780326535366,58.49078711655476,0.0229288917623911,22.694792140811998,28.06609408172047,0.9351974461627562,0
3605,37.73971104796047,5.841692032575845,1351.1016360756466,29.322858402838325,1.0967225242492176,19.79225518136795,24.085514509617013,0.16549237414896484,0
3606,42.27286616538811,7.562895454730792,771.4426766809655,177.3878407169653,1.9137907613288667,23.435593914295275,28.217990423078167,1.0135304058507597,0
3607,93.20487586128615,2.9141146835098026,706.5898413774713,89.92881580497419,1.5405030320686346,50.71925049251632,71.05082232343052,-0.030726384288663602,1
3608,36.72343367295921,10.245774528293131,345.11802741685943,170.61176860452983,2.345538538043361,21.644510589082984,24.653005806665668,1.1616575982831034,0
3609,47.484195378610366,8.443816706992648,1137.9547904699718,147.94360592981369,2.2166838232218193,27.553555680069696,30.29618891470321,1.0747191749729412,0
3610,52.525748516585494,3.386847757057871,733.8586005332471,159.16830291836342,1.2962393443746794,26.93057500772062,32.36684766750901,1.8818795264754247,1
3611,50.389873761491344,7.926530842427137,257.30104445435165,167.76970230718536,0.20635199667546678,26.39218291272928,41.14131914888246,-0.11260321824757132,1
3612,57.64085026345803,7.233653864581321,1368.5671773454314,55.53063727134542,0.7260823362948661,33.78688726375855,38.66337806820691,-0.322143229180953,0
